,ResponseId,DevType,Country,Amazon Web Services,Heroku,Netlify,Google Cloud,Fly.io,Cloudflare,Firebase,Vercel,Digital Ocean,Hetzner,VMware,Microsoft Azure,Databricks,Oracle Cloud,PythonAnywhere,Render,Supabase,Managed Hosting,OpenShift,OVH,IBM Cloud,Alibaba Cloud,Vultr,Colocation,Linode/Akamai,Scaleway,OpenStack
133,134,Full-Stack Developer,United Kingdom,1.0,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,
134,135,Professional Researcher,United Kingdom,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
135,136,Full-Stack Developer,Hungary,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
136,137,Full-Stack Developer,United States,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,
137,138,Full-Stack Developer,Argentina,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
138,139,Academic Researcher,Sweden,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
139,140,Full-Stack Developer,Pakistan,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
140,141,DevOps Engineer,India,1.0,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
141,142,Full-Stack Developer,Italy,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,
142,143,Others,India,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
143,144,Professional Researcher,Australia,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
145,146,Mobile App Developer,United States,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
147,148,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
149,150,Full-Stack Developer,Croatia,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
150,151,Full-Stack Developer,Turkey,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
153,154,Back-End Developer,United Kingdom,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
155,156,Full-Stack Developer,Portugal,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
157,158,Full-Stack Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
158,159,Full-Stack Developer,Sri Lanka,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
159,160,Back-End Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
160,161,DevOps Engineer,Netherlands,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
161,162,Full-Stack Developer,Latvia,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
162,163,Full-Stack Developer,Sri Lanka,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
164,165,Full-Stack Developer,India,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
165,166,Full-Stack Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
166,167,Full-Stack Developer,United Kingdom,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
167,168,Academic Researcher,China,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
168,169,Front-End Developer,Singapore,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
171,172,Cyber Security,United States,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,
172,173,Full-Stack Developer,Romania,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,
173,174,Back-End Developer,Philippines,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
174,175,Academic Researcher,United Kingdom,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
175,176,Full-Stack Developer,United States,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
177,178,Professional Researcher,Spain,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
179,180,Others,United Kingdom,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,
180,181,Full-Stack Developer,Portugal,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
181,182,Others,Poland,,,1.0,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,
182,183,Back-End Developer,United States,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
183,184,Full-Stack Developer,Canada,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
184,185,Full-Stack Developer,Hungary,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
187,188,DevOps Engineer,United States,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
188,189,Project Manager,Canada,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
189,190,Full-Stack Developer,Czech Republic,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
190,191,Back-End Developer,Canada,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
191,192,Back-End Developer,Bulgaria,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
193,194,Project Manager,Portugal,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
195,196,Project Manager,India,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
196,197,Academic Researcher,Germany,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
197,198,Professional Researcher,Portugal,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
199,200,Project Manager,India,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
200,201,Front-End Developer,South Africa,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
204,205,Full-Stack Developer,United States,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
207,208,DevOps Engineer,France,1.0,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
208,209,Full-Stack Developer,Netherlands,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
209,210,Data Analyst,United States,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
210,211,DevOps Engineer,France,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
211,212,Back-End Developer,United Kingdom,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
212,213,ML Engineer,Vietnam,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
213,214,Full-Stack Developer,Ireland,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,
214,215,Professional Researcher,Dominican Rep.,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
215,216,Software Engineer,United States,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
216,217,Game Developer,Indonesia,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
217,218,Back-End Developer,Brazil,1.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
221,222,Project Manager,Vietnam,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
222,223,Full-Stack Developer,France,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
225,226,Full-Stack Developer,Germany,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
227,228,Others,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
229,230,Full-Stack Developer,United States,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
232,233,Mobile App Developer,Ukraine,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
234,235,Full-Stack Developer,India,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
235,236,Software Engineer,Croatia,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,
236,237,Back-End Developer,Romania,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
237,238,Full-Stack Developer,Poland,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
239,240,Mobile App Developer,Australia,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
241,242,Back-End Developer,United States,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
242,243,Full-Stack Developer,Morocco,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,
243,244,Full-Stack Developer,India,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
245,246,Professional Researcher,Germany,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
247,248,Academic Researcher,Greece,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
248,249,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
250,251,Mobile App Developer,United States,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
251,252,Software Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
252,253,Hardware Engineer,Sweden,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
253,254,Full-Stack Developer,Switzerland,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
254,255,Back-End Developer,France,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
255,256,Others,Brazil,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
258,259,Project Manager,Brazil,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
260,261,Full-Stack Developer,France,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
261,262,Full-Stack Developer,Sweden,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
262,263,Professional Researcher,Austria,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
263,264,Full-Stack Developer,United States,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
264,265,Back-End Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
265,266,QA Engineer,United States,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
266,267,Back-End Developer,Austria,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
268,269,Front-End Developer,United States,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
270,271,Back-End Developer,Ukraine,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,,,,
271,272,DevOps Engineer,Germany,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
273,274,Back-End Developer,United States,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
274,275,Front-End Developer,Russia,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
275,276,Full-Stack Developer,United Kingdom,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
276,277,Cloud Engineer,San Marino,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
277,278,Academic Researcher,Indonesia,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
278,279,Front-End Developer,United States,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
279,280,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
280,281,Back-End Developer,Switzerland,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
282,283,Academic Researcher,United States,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
283,284,Full-Stack Developer,Tunisia,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,
284,285,Front-End Developer,United Kingdom,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
285,286,DevOps Engineer,India,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
287,288,Back-End Developer,Canada,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
288,289,Software Engineer,Poland,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
289,290,Academic Researcher,United States,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
291,292,Full-Stack Developer,Greece,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
292,293,DevOps Engineer,United States,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
298,299,Data Science/ML,Bangladesh,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,
299,300,Full-Stack Developer,United Kingdom,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
300,301,Back-End Developer,Japan,1.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,
301,302,Full-Stack Developer,Canada,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
302,303,Full-Stack Developer,Nigeria,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
303,304,DevOps Engineer,France,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
305,306,DevOps Engineer,Poland,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
306,307,Others,United States,,,,1.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
308,309,Mobile App Developer,United States,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
310,311,Back-End Developer,Ukraine,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
313,314,Project Manager,Canada,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
314,315,Project Manager,Germany,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
316,317,Full-Stack Developer,Brazil,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
317,318,Back-End Developer,Bangladesh,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
318,319,Full-Stack Developer,Liechtenstein,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
319,320,Full-Stack Developer,Portugal,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
320,321,Full-Stack Developer,Denmark,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
321,322,Project Manager,Canada,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
323,324,Full-Stack Developer,Ukraine,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
325,326,Full-Stack Developer,Germany,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
326,327,Back-End Developer,Switzerland,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
327,328,DevOps Engineer,United States,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
328,329,Others,North Macedonia,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
330,331,Full-Stack Developer,United States,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
332,333,Software Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
335,336,Others,Italy,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
338,339,Full-Stack Developer,United States,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
340,341,Full-Stack Developer,Pakistan,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
341,342,Full-Stack Developer,United States,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
344,345,Data Science/ML,United States,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
346,347,Back-End Developer,Vietnam,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
349,350,Cloud Engineer,United Kingdom,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
350,351,Project Manager,United States,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
351,352,Front-End Developer,India,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
352,353,Full-Stack Developer,France,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
353,354,Mobile App Developer,France,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
354,355,Back-End Developer,Belgium,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
356,357,Software Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
357,358,Full-Stack Developer,Romania,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,
358,359,Full-Stack Developer,United Kingdom,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
359,360,Project Manager,United States,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,
362,363,Full-Stack Developer,United States,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
363,364,Back-End Developer,Brazil,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
364,365,Full-Stack Developer,Australia,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
365,366,Full-Stack Developer,Germany,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
366,367,Full-Stack Developer,United Kingdom,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
368,369,Full-Stack Developer,Spain,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
371,372,Others,Turkey,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
372,373,Full-Stack Developer,United Kingdom,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
373,374,Front-End Developer,Mexico,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
377,378,Full-Stack Developer,Brazil,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
379,380,Data Science/ML,Turkey,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
380,381,Data Analyst,United States,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
382,383,Back-End Developer,India,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
383,384,Software Engineer,Italy,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
384,385,Full-Stack Developer,United States,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
385,386,Back-End Developer,France,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
386,387,Project Manager,France,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
388,389,Blockchain Developer,Spain,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,
389,390,Academic Researcher,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
390,391,Full-Stack Developer,Germany,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
391,392,DevOps Engineer,India,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
392,393,Project Manager,United Kingdom,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
393,394,Software Engineer,Bangladesh,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
394,395,Front-End Developer,India,1.0,,,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0
395,396,Others,United Kingdom,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
